genes	logFC	logCPM	LR	PValue	FDR
NCR3LG1	-0.051126464079492	9.51235152302698	66.0758944069767	4.33889951139132e-16	5.91188834365998e-16
SLC25A48	-0.0511463411828706	9.50803222308796	224.871752296281	7.83036030874328e-51	1.39474999019956e-50
PRDM8	-0.0511963537503317	9.51349769800158	57.2448823467548	3.84789058326322e-14	5.13431477624259e-14
KIAA1644	-0.0512746941444515	9.50798740166676	235.400615395337	3.95928159794917e-53	7.15308767122657e-53
RAB11FIP2	-0.0513124040761206	9.55932150369228	17.2077547333392	3.35065820389048e-05	3.93444146191908e-05
KLHL34	-0.051356307071019	9.50786383311279	274.521959458646	1.17326898712065e-61	2.21781360536863e-61
PPP1R3G	-0.0513612079638223	9.52267844701356	30.69992249192	3.01177079169649e-08	3.71867039960136e-08
RPL18AP15	-0.0514131585409545	9.50830249421053	190.40145885102	2.59837436553103e-43	4.41810454956394e-43
HDAC7	-0.0514225094177998	9.56945491929894	16.6536291543816	4.48643895616387e-05	5.25784367040272e-05
PLK2	-0.0514265301995064	9.60893095600561	16.3072239282919	5.38582405097621e-05	6.30219524606625e-05
A2ML1	-0.0514329288581439	9.50795221941329	245.885486292128	2.04866070155668e-55	3.74659703349277e-55
PPP1R3E	-0.0514412476990047	9.54326659803704	19.5234990976096	9.93697158890468e-06	1.17945827111936e-05
RP11-93H24.3	-0.0515023368153787	9.51269013128127	64.0549582549957	1.20996396205065e-15	1.64072998010393e-15
C2orf74	-0.0515151158160145	9.58395177728999	16.3168319086471	5.35858595091805e-05	6.27106214350362e-05
RP11-355B11.2	-0.0515476169959778	9.5138517811349	55.79226404578	8.05478765319548e-14	1.07044811075075e-13
FBXO41	-0.0515797619003788	9.52014431465404	34.8479314274046	3.56488117021835e-09	4.4694435895707e-09
TGFBRAP1	-0.0515935337052602	9.54889257252916	18.597671582691	1.61417584178927e-05	1.90760119725117e-05
REG1B	-0.0516080057916661	9.50789533595835	218.444479527217	1.97554818398764e-49	3.48663350131484e-49
FAM179A	-0.0516577129093348	9.50917148325112	132.498284840235	1.16407207567082e-30	1.81297101050805e-30
ANO3	-0.0516976513237846	9.50829797808583	193.70893578454	4.92935969458569e-44	8.42558828953986e-44
RP11-884K10.7	-0.0517406822009247	9.51222682488373	68.9656335436757	1.00194258789991e-16	1.37357069240484e-16
BCDIN3D-AS1	-0.0517552165302895	9.50946483376647	121.241163237283	3.38391837187677e-28	5.16368200545939e-28
RP11-244J10.1	-0.0517583723231046	9.51120890277524	81.7118362539695	1.57447727892855e-19	2.21805841664944e-19
FBXO34	-0.0517711961278988	9.56103889748908	17.3795867096487	3.06095858330317e-05	3.59746008771917e-05
EIF4A1P4	-0.0517822463059279	9.50849202122794	175.34754944025	5.02702720867655e-40	8.37120866161693e-40
TRAPPC11	-0.0518234626379367	9.56455299369052	17.1738858947792	3.41093202352564e-05	4.00450602170454e-05
CTD-2325A15.3	-0.0518406349310581	9.5079708734175	248.041809018341	6.93984165144014e-56	1.27244320644604e-55
CTD-3001H11.2	-0.0518659179860975	9.509784365574	111.315660202728	5.04610103417014e-26	7.56800765650664e-26
RRAS	-0.0518739167504101	9.55902862811628	17.6110699447308	2.71006231448123e-05	3.18827080895166e-05
KSR1	-0.0518762245075025	9.53586542436661	21.9998941988888	2.72665495708379e-06	3.26665344288037e-06
CATSPERG	-0.0519307926293946	9.51371536956659	57.5150713771309	3.35399408676409e-14	4.47710502616811e-14
RPL23AP38	-0.0519491844331757	9.50810318375856	223.038318766316	1.96638683020825e-50	3.49439034882024e-50
FAM72C	-0.0519519046791897	9.51124318065737	81.4484786330631	1.79890636071344e-19	2.53278665300705e-19
NPHP4	-0.0519781260710315	9.52082336582665	34.2010614783358	4.97018358242932e-09	6.21836886939342e-09
GMEB1	-0.0519794920839905	9.56213271666584	17.4386642686659	2.96728474358501e-05	3.48757432289188e-05
MRGPRF	-0.0519863850707371	9.50792098449733	265.252896182666	1.22900401306598e-59	2.2988664264757e-59
RP11-57C19.2	-0.0519916014889139	9.50810621577443	223.072472375579	1.93294562646263e-50	3.43527084473766e-50
MIA	-0.0520280866349535	9.50796534030889	252.66304925957	6.82154854492905e-57	1.25819250552692e-56
ZNF491	-0.0520373281097454	9.50920456057846	133.252329230222	7.96208523437802e-31	1.24179999789356e-30
PRKCDBP	-0.0520522918574796	9.51724892244436	42.2944795686162	7.85138685894296e-11	1.00609675496352e-10
